artist,profile_pic
Hozier,https://yt3.googleusercontent.com/SldyypanXJU4RXlUBHym6PlI3rM8yiDLBMIlt3gD1B3rxdkZG5ykUDRjZ2jsMOpEppXMNFm80g=s900-c-k-c0x00ffffff-no-rj
Taylor Swift, https://cdn-images.dzcdn.net/images/artist/d37ef92e54376529cc956a270827dd49/1900x1900-000000-80-0-0.jpg
Noah Kahan,https://i.scdn.co/image/ab6761610000e5eb8c52b10e110f62fe45761590
Sabrina Carpenter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNpwbRwPSuhetYTx-h2bLRn7bbtMqi2pzprA&s
Tan Bionica,https://i.scdn.co/image/ab6761610000e5ebb4063d372f85c22f4468ca24
Benson Boone,https://upload.wikimedia.org/wikipedia/commons/1/11/Benson_Boone_Press_Copy_Warner_Records_%28cropped%29.png
Chappell Roan,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
Harry Styles,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
Olivia Rodrigo,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
One Direction,https://i.scdn.co/image/289c7f686f5b78ceeb224453cf9a15697a678a79