track,album_pic
Too Sweet,https://i.scdn.co/image/ab67616d0000b2732e8b4358d044b75807e30bf0
Stick Season, https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
Almost (Sweet Music),https://i.scdn.co/image/ab67616d00001e02b72e0c5271a33a982a38ebae
Dog Days Are Over,https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce
Good Luck; Babe!,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7
Parque Acuático,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR204ZBdXArrNDREPJWdfsy-xSmtxsQ-O7IQ&s
Someone New,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
Pierre,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzY6Z-IDwLBQbNwOZXNQVWcy16jJVMk_zjKg&s
Beautiful Things,https://i.scdn.co/image/ab67616d0000b273bef221ea02a821e7feeda9cf
Don't Blame Me,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b